match_date,home_team,away_team,result_side,model_log_loss,market_log_loss,model_p_result,market_p_result,winner
2026-06-16,Argentina,Algeria,home,0.7875,0.7416,0.6635,0.6784,market
2026-06-16,Austria,Jordan,home,0.9865,,0.5913,,tie
2026-06-15,Belgium,Egypt,draw,2.396,2.5673,0.2646,0.2338,model
2026-06-17,England,Croatia,home,1.1811,1.0424,0.5289,0.5721,market
2026-06-16,France,Senegal,home,1.1293,0.8036,0.5449,0.6552,market
2026-06-17,Ghana,Panama,home,2.0157,1.618,0.3113,0.403,market
2026-06-15,Iran,New Zealand,draw,2.1408,2.2809,0.3058,0.2736,model
2026-06-16,Iraq,Norway,away,0.6433,0.433,0.7173,0.801,market
2026-06-14,Ivory Coast,Ecuador,home,2.2003,,0.2737,,tie
2026-06-17,Portugal,DR Congo,draw,2.947,3.3165,0.2068,0.1642,model
2026-06-15,Saudi Arabia,Uruguay,draw,2.3243,2.7958,0.2832,0.2118,model
2026-06-15,Spain,Cape Verde,draw,4.9164,5.2603,0.0788,0.0614,model
2026-06-14,Sweden,Tunisia,home,1.4934,1.2302,0.4362,0.5124,market
2026-06-17,Uzbekistan,Colombia,away,0.8755,0.663,0.6315,0.7085,market
